epoch,itr,loss,loss-jepa,reg-loss,enc-grad-norm,pred-grad-norm,gpu-time(ms),wall-time(ms)
1,0,0.85157,0.85157,0.84521,0.00000,0.00000,6045,26063
1,1,0.85181,0.85181,0.84521,0.00000,0.00000,577,584
1,2,0.82431,0.82431,0.84668,0.00000,0.00000,317,324
1,3,0.79557,0.79557,0.84619,0.00000,0.00000,313,2194
1,4,0.77543,0.77543,0.84814,0.00000,0.00000,293,300
1,5,0.74614,0.74614,0.85205,0.00000,0.00000,296,303
1,6,0.72809,0.72809,0.85400,0.00000,0.00000,292,298
1,7,0.70427,0.70427,0.85742,0.00000,0.00000,326,334
1,8,0.69467,0.69467,0.86084,0.00000,0.00000,303,310
1,9,0.67883,0.67883,0.86719,0.00000,0.00000,292,299
1,10,0.66719,0.66719,0.86963,0.00000,0.00000,251,258
1,11,0.64695,0.64695,0.87109,0.00000,0.00000,311,318
1,12,0.64243,0.64243,0.87598,0.00000,0.00000,312,319
1,13,0.62995,0.62995,0.87793,0.00000,0.00000,310,317
1,14,0.62271,0.62271,0.88184,0.00000,0.00000,287,294
1,15,0.60428,0.60428,0.88379,0.00000,0.00000,318,325
1,16,0.60094,0.60094,0.88770,0.00000,0.00000,314,321
1,17,0.58903,0.58903,0.89014,0.00000,0.00000,287,293
1,18,0.58295,0.58295,0.89307,0.00000,0.00000,294,301
1,19,0.57339,0.57339,0.89502,0.00000,0.00000,295,302
1,20,0.56307,0.56307,0.89746,0.00000,0.00000,292,299
1,21,0.56482,0.56482,0.89990,0.00000,0.00000,281,288
1,22,0.54907,0.54907,0.90186,0.00000,0.00000,326,333
1,23,0.56236,0.56236,0.90381,0.00000,0.00000,308,314
1,24,0.53973,0.53973,0.90625,0.00000,0.00000,328,335
1,25,0.54776,0.54776,0.90771,0.00000,0.00000,297,304
1,26,0.53630,0.53630,0.90918,0.00000,0.00000,295,302
1,27,0.53513,0.53513,0.91113,0.00000,0.00000,273,280
1,28,0.53119,0.53119,0.91309,0.00000,0.00000,293,300
1,29,0.52544,0.52544,0.91406,0.00000,0.00000,308,315
1,30,0.51546,0.51546,0.91553,0.00000,0.00000,311,318
1,31,0.50855,0.50855,0.91699,0.00000,0.00000,300,307
1,32,0.51101,0.51101,0.92139,0.00000,0.00000,266,273
1,33,0.50372,0.50372,0.92041,0.00000,0.00000,277,284
1,34,0.50625,0.50625,0.92188,0.00000,0.00000,308,315
1,35,0.49094,0.49094,0.92334,0.00000,0.00000,278,285
1,36,0.49370,0.49370,0.92432,0.00000,0.00000,278,285
1,37,0.49839,0.49839,0.92529,0.00000,0.00000,283,290
1,38,0.48044,0.48044,0.92676,0.00000,0.00000,312,319
1,39,0.48025,0.48025,0.92725,0.00000,0.00000,290,297
1,40,0.48048,0.48048,0.92920,0.00000,0.00000,292,299
1,41,0.48218,0.48218,0.92920,0.00000,0.00000,316,323
1,42,0.47115,0.47115,0.93164,0.00000,0.00000,303,310
1,43,0.47492,0.47492,0.93164,0.00000,0.00000,291,298
1,44,0.46112,0.46112,0.93115,0.00000,0.00000,300,306
2,0,0.46074,0.46074,0.93262,0.00000,0.00000,350,1149
2,1,0.45727,0.45727,0.93408,0.00000,0.00000,311,322
2,2,0.45472,0.45472,0.93408,0.00000,0.00000,300,308
2,3,0.45639,0.45639,0.93555,0.00000,0.00000,325,332
2,4,0.46324,0.46324,0.93555,0.00000,0.00000,402,409
2,5,0.43997,0.43997,0.93555,0.00000,0.00000,283,290
2,6,0.45599,0.45599,0.93604,0.00000,0.00000,320,326
2,7,0.42294,0.42294,0.93604,0.00000,0.00000,292,299
2,8,0.42703,0.42703,0.93555,0.00000,0.00000,302,309
2,9,0.43685,0.43685,0.93652,0.00000,0.00000,273,280
2,10,0.43842,0.43842,0.93701,0.00000,0.00000,283,290
2,11,0.43229,0.43229,0.93652,0.00000,0.00000,293,300
2,12,0.40795,0.40795,0.93604,0.00000,0.00000,310,317
2,13,0.41876,0.41876,0.93506,0.00000,0.00000,280,288
2,14,0.41444,0.41444,0.93604,0.00000,0.00000,317,324
2,15,0.40353,0.40353,0.93604,0.00000,0.00000,306,313
2,16,0.40019,0.40019,0.93555,0.00000,0.00000,300,307
2,17,0.40232,0.40232,0.93555,0.00000,0.00000,323,330
2,18,0.40666,0.40666,0.93457,0.00000,0.00000,307,314
2,19,0.39612,0.39612,0.93457,0.00000,0.00000,301,308
2,20,0.38741,0.38741,0.93359,0.00000,0.00000,325,332
2,21,0.36608,0.36608,0.93457,0.00000,0.00000,302,309
2,22,0.42816,0.42816,0.93213,0.00000,0.00000,296,303
2,23,0.36521,0.36521,0.93262,0.00000,0.00000,279,286
2,24,0.37273,0.37273,0.93213,0.00000,0.00000,291,298
2,25,0.36223,0.36223,0.93164,0.00000,0.00000,299,306
2,26,0.38740,0.38740,0.92969,0.00000,0.00000,303,310
2,27,0.36413,0.36413,0.93018,0.00000,0.00000,309,316
2,28,0.35460,0.35460,0.92822,0.00000,0.00000,314,321
2,29,0.34892,0.34892,0.92871,0.00000,0.00000,285,292
2,30,0.34609,0.34609,0.92773,0.00000,0.00000,306,312
2,31,0.34501,0.34501,0.92725,0.00000,0.00000,326,333
2,32,0.34646,0.34646,0.92676,0.00000,0.00000,278,285
2,33,0.33398,0.33398,0.92529,0.00000,0.00000,284,290
2,34,0.35369,0.35369,0.92432,0.00000,0.00000,289,296
2,35,0.33707,0.33707,0.92334,0.00000,0.00000,285,292
2,36,0.34956,0.34956,0.92236,0.00000,0.00000,312,319
2,37,0.32783,0.32783,0.92139,0.00000,0.00000,300,307
2,38,0.31933,0.31933,0.92090,0.00000,0.00000,302,308
2,39,0.32721,0.32721,0.91895,0.00000,0.00000,308,315
2,40,0.32934,0.32934,0.91846,0.00000,0.00000,307,314
2,41,0.30683,0.30683,0.91699,0.00000,0.00000,279,285
2,42,0.30652,0.30652,0.91748,0.00000,0.00000,305,312
2,43,0.30333,0.30333,0.91504,0.00000,0.00000,290,297
2,44,0.31520,0.31520,0.91504,0.00000,0.00000,324,331
3,0,0.30676,0.30676,0.91309,0.00000,0.00000,302,1288
3,1,0.29762,0.29762,0.91211,0.00000,0.00000,336,346
3,2,0.28464,0.28464,0.91211,0.00000,0.00000,302,309
3,3,0.29615,0.29615,0.90967,0.00000,0.00000,291,298
3,4,0.27084,0.27084,0.90967,0.00000,0.00000,298,305
3,5,0.27028,0.27028,0.90820,0.00000,0.00000,324,331
3,6,0.26306,0.26306,0.90771,0.00000,0.00000,319,326
3,7,0.26484,0.26484,0.91162,0.00000,0.00000,305,312
3,8,0.29549,0.29549,0.90967,0.00000,0.00000,327,334
3,9,0.28633,0.28633,0.90967,0.00000,0.00000,312,319
3,10,0.26635,0.26635,0.90820,0.00000,0.00000,299,306
3,11,0.27206,0.27206,0.90771,0.00000,0.00000,324,331
3,12,0.26104,0.26104,0.90625,0.00000,0.00000,301,308
3,13,0.26637,0.26637,0.90820,0.00000,0.00000,304,311
3,14,0.24336,0.24336,0.90723,0.00000,0.00000,305,312
3,15,0.24958,0.24958,0.90625,0.00000,0.00000,304,311
3,16,0.25153,0.25153,0.90674,0.00000,0.00000,301,308
3,17,0.24695,0.24695,0.90625,0.00000,0.00000,299,306
3,18,0.24652,0.24652,0.90723,0.00000,0.00000,299,306
3,19,0.24299,0.24299,0.90381,0.00000,0.00000,291,298
3,20,0.24775,0.24775,0.90430,0.00000,0.00000,299,306
3,21,0.23816,0.23816,0.90430,0.00000,0.00000,290,297
3,22,0.24076,0.24076,0.90234,0.00000,0.00000,297,304
3,23,0.22853,0.22853,0.90186,0.00000,0.00000,290,298
3,24,0.24622,0.24622,0.90088,0.00000,0.00000,284,291
3,25,0.23566,0.23566,0.90088,0.00000,0.00000,289,296
3,26,0.22301,0.22301,0.89990,0.00000,0.00000,292,300
3,27,0.24530,0.24530,0.89746,0.00000,0.00000,310,317
3,28,0.22424,0.22424,0.89600,0.00000,0.00000,291,298
3,29,0.22361,0.22361,0.89453,0.00000,0.00000,276,283
3,30,0.24487,0.24487,0.89160,0.00000,0.00000,311,318
3,31,0.24077,0.24077,0.88965,0.00000,0.00000,293,300
3,32,0.23556,0.23556,0.88965,0.00000,0.00000,295,302
3,33,0.20366,0.20366,0.88721,0.00000,0.00000,284,291
3,34,0.21493,0.21493,0.88818,0.00000,0.00000,289,296
3,35,0.23254,0.23254,0.89014,0.00000,0.00000,289,296
3,36,0.19202,0.19202,0.88574,0.00000,0.00000,294,301
3,37,0.17762,0.17762,0.89160,0.00000,0.00000,305,312
3,38,0.23462,0.23462,0.89209,0.00000,0.00000,273,279
3,39,0.20143,0.20143,0.88770,0.00000,0.00000,307,314
3,40,0.19353,0.19353,0.88525,0.00000,0.00000,281,287
3,41,0.20363,0.20363,0.88232,0.00000,0.00000,290,297
3,42,0.19601,0.19601,0.88232,0.00000,0.00000,311,318
3,43,0.18842,0.18842,0.88330,0.00000,0.00000,298,305
3,44,0.19245,0.19245,0.87891,0.00000,0.00000,303,310
4,0,0.17613,0.17613,0.88232,0.00000,0.00000,309,1090
4,1,0.20093,0.20093,0.88086,0.00000,0.00000,295,302
4,2,0.19358,0.19358,0.87500,0.00000,0.00000,310,317
4,3,0.16733,0.16733,0.87207,0.00000,0.00000,299,306
4,4,0.16801,0.16801,0.87793,0.00000,0.00000,312,319
4,5,0.17033,0.17033,0.88232,0.00000,0.00000,276,283
4,6,0.20352,0.20352,0.88281,0.00000,0.00000,279,286
4,7,0.16389,0.16389,0.88428,0.00000,0.00000,304,311
4,8,0.16627,0.16627,0.88867,0.00000,0.00000,260,267
4,9,0.15927,0.15927,0.88232,0.00000,0.00000,302,309
4,10,0.19805,0.19805,0.88428,0.00000,0.00000,312,319
4,11,0.15654,0.15654,0.88965,0.00000,0.00000,281,288
4,12,0.16554,0.16554,0.88232,0.00000,0.00000,272,279
4,13,0.17676,0.17676,0.87695,0.00000,0.00000,318,325
4,14,0.15716,0.15716,0.87646,0.00000,0.00000,283,290
4,15,0.15683,0.15683,0.87646,0.00000,0.00000,294,302
4,16,0.16924,0.16924,0.87354,0.00000,0.00000,307,314
4,17,0.15769,0.15769,0.87256,0.00000,0.00000,299,306
4,18,0.19878,0.19878,0.86914,0.00000,0.00000,304,311
4,19,0.15933,0.15933,0.86230,0.00000,0.00000,286,293
4,20,0.15138,0.15138,0.85840,0.00000,0.00000,305,312
4,21,0.14108,0.14108,0.86768,0.00000,0.00000,273,280
4,22,0.16902,0.16902,0.87500,0.00000,0.00000,288,295
4,23,0.15954,0.15954,0.88086,0.00000,0.00000,294,301
4,24,0.15467,0.15467,0.87256,0.00000,0.00000,316,323
4,25,0.17358,0.17358,0.86182,0.00000,0.00000,315,322
4,26,0.16657,0.16657,0.85986,0.00000,0.00000,296,303
4,27,0.15650,0.15650,0.86084,0.00000,0.00000,315,322
4,28,0.15264,0.15264,0.87012,0.00000,0.00000,324,331
4,29,0.16684,0.16684,0.87207,0.00000,0.00000,276,282
4,30,0.16738,0.16738,0.87158,0.00000,0.00000,288,295
4,31,0.13634,0.13634,0.86328,0.00000,0.00000,299,306
4,32,0.15679,0.15679,0.85254,0.00000,0.00000,313,319
4,33,0.14733,0.14733,0.84131,0.00000,0.00000,314,320
4,34,0.19373,0.19373,0.84717,0.00000,0.00000,299,306
4,35,0.13876,0.13876,0.85596,0.00000,0.00000,331,337
4,36,0.18455,0.18455,0.85938,0.00000,0.00000,265,271
4,37,0.14424,0.14424,0.85693,0.00000,0.00000,294,301
4,38,0.16146,0.16146,0.85547,0.00000,0.00000,299,306
4,39,0.18585,0.18585,0.84229,0.00000,0.00000,313,319
4,40,0.14735,0.14735,0.84717,0.00000,0.00000,293,300
4,41,0.13068,0.13068,0.85938,0.00000,0.00000,273,280
4,42,0.13582,0.13582,0.86523,0.00000,0.00000,290,297
4,43,0.16462,0.16462,0.86670,0.00000,0.00000,301,308
4,44,0.16815,0.16815,0.86328,0.00000,0.00000,298,305
5,0,0.15790,0.15790,0.85742,0.00000,0.00000,319,1201
5,1,0.14714,0.14714,0.84229,0.00000,0.00000,273,282
5,2,0.15386,0.15386,0.84326,0.00000,0.00000,287,294
5,3,0.14425,0.14425,0.84766,0.00000,0.00000,300,307
5,4,0.15754,0.15754,0.85303,0.00000,0.00000,301,308
5,5,0.12898,0.12898,0.85498,0.00000,0.00000,301,308
5,6,0.15582,0.15582,0.84863,0.00000,0.00000,291,298
5,7,0.14933,0.14933,0.84717,0.00000,0.00000,310,317
5,8,0.15212,0.15212,0.84375,0.00000,0.00000,290,297
5,9,0.14025,0.14025,0.84082,0.00000,0.00000,291,298
5,10,0.13600,0.13600,0.84912,0.00000,0.00000,295,302
5,11,0.14905,0.14905,0.84570,0.00000,0.00000,314,321
5,12,0.16558,0.16558,0.84521,0.00000,0.00000,275,282
5,13,0.15657,0.15657,0.83936,0.00000,0.00000,271,278
5,14,0.12184,0.12184,0.84326,0.00000,0.00000,313,321
5,15,0.13729,0.13729,0.83838,0.00000,0.00000,306,313
5,16,0.14915,0.14915,0.84131,0.00000,0.00000,283,290
5,17,0.13177,0.13177,0.84619,0.00000,0.00000,282,289
5,18,0.13656,0.13656,0.84180,0.00000,0.00000,280,287
5,19,0.17018,0.17018,0.84033,0.00000,0.00000,297,304
5,20,0.11362,0.11362,0.84180,0.00000,0.00000,308,315
5,21,0.14752,0.14752,0.83350,0.00000,0.00000,300,307
5,22,0.14710,0.14710,0.83984,0.00000,0.00000,278,285
5,23,0.17222,0.17222,0.84180,0.00000,0.00000,301,308
5,24,0.14111,0.14111,0.83936,0.00000,0.00000,278,285
5,25,0.19960,0.19960,0.83203,0.00000,0.00000,293,300
5,26,0.19029,0.19029,0.82422,0.00000,0.00000,268,275
5,27,0.13365,0.13365,0.82812,0.00000,0.00000,318,325
5,28,0.15035,0.15035,0.82471,0.00000,0.00000,300,307
5,29,0.13391,0.13391,0.83008,0.00000,0.00000,302,309
5,30,0.13521,0.13521,0.83643,0.00000,0.00000,284,291
5,31,0.17213,0.17213,0.83887,0.00000,0.00000,327,334
5,32,0.12596,0.12596,0.84375,0.00000,0.00000,300,307
5,33,0.13105,0.13105,0.84863,0.00000,0.00000,310,317
5,34,0.16527,0.16527,0.83691,0.00000,0.00000,284,291
5,35,0.15127,0.15127,0.83252,0.00000,0.00000,311,318
5,36,0.15255,0.15255,0.83447,0.00000,0.00000,308,315
5,37,0.16534,0.16534,0.82959,0.00000,0.00000,297,304
5,38,0.12756,0.12756,0.82910,0.00000,0.00000,303,310
5,39,0.15961,0.15961,0.84131,0.00000,0.00000,286,293
5,40,0.11228,0.11228,0.84766,0.00000,0.00000,303,310
5,41,0.13231,0.13231,0.84570,0.00000,0.00000,294,301
5,42,0.11651,0.11651,0.84521,0.00000,0.00000,315,321
5,43,0.16998,0.16998,0.83838,0.00000,0.00000,307,313
5,44,0.14891,0.14891,0.81836,0.00000,0.00000,297,304
6,0,0.11998,0.11998,0.82422,0.00000,0.00000,298,1217
6,1,0.16115,0.16115,0.82275,0.00000,0.00000,286,293
6,2,0.16830,0.16830,0.83057,0.00000,0.00000,301,308
6,3,0.16331,0.16331,0.83301,0.00000,0.00000,285,292
6,4,0.16148,0.16148,0.82764,0.00000,0.00000,304,311
6,5,0.12637,0.12637,0.82617,0.00000,0.00000,313,320
6,6,0.14107,0.14107,0.82666,0.00000,0.00000,279,286
6,7,0.14655,0.14655,0.82617,0.00000,0.00000,296,303
6,8,0.16344,0.16344,0.82275,0.00000,0.00000,281,288
6,9,0.12778,0.12778,0.81543,0.00000,0.00000,316,323
